time,ecg2,sequence_counter,packet_size
NaN,-9.800000000e+01,7040343.17,
NaN,1.000000000e+00,7040343.18,
NaN,2.600000000e+02,7040343.19,
NaN,3.390000000e+02,7040343.20,
NaN,3.590000000e+02,7040343.21,
NaN,6.390000000e+02,7040343.22,
NaN,5.380000000e+02,7040343.23,
NaN,4.240000000e+02,7040343.24,
NaN,3.520000000e+02,7040343.25,
NaN,-4.600000000e+01,7040343.26,
NaN,-1.910000000e+02,7040343.27,
NaN,-2.820000000e+02,7040343.28,
NaN,-3.540000000e+02,7040343.29,
23150453016,-3.040000000e+02,7040343.30,
NaN,-4.300000000e+02,7040344.00,31
NaN,-4.040000000e+02,7040344.01,
NaN,-3.690000000e+02,7040344.02,
NaN,-4.140000000e+02,7040344.03,
NaN,-3.420000000e+02,7040344.04,
NaN,-3.470000000e+02,7040344.05,
NaN,-4.760000000e+02,7040344.06,
NaN,-3.680000000e+02,7040344.07,
NaN,4.960000000e+02,7040344.08,
NaN,1.984000000e+03,7040344.09,
NaN,3.667000000e+03,7040344.10,
NaN,3.169000000e+03,7040344.11,
NaN,2.750000000e+02,7040344.12,
NaN,-7.580000000e+02,7040344.13,
NaN,-2.740000000e+02,7040344.14,
NaN,-4.270000000e+02,7040344.15,
NaN,-3.320000000e+02,7040344.16,
NaN,-2.740000000e+02,7040344.17,
NaN,-4.110000000e+02,7040344.18,
NaN,-2.890000000e+02,7040344.19,
NaN,-3.060000000e+02,7040344.20,
NaN,-3.030000000e+02,7040344.21,
NaN,-2.010000000e+02,7040344.22,
NaN,-2.400000000e+02,7040344.23,
NaN,-1.360000000e+02,7040344.24,
NaN,-1.230000000e+02,7040344.25,
NaN,-1.390000000e+02,7040344.26,
NaN,1.500000000e+01,7040344.27,
NaN,-1.200000000e+01,7040344.28,
NaN,6.800000000e+01,7040344.29,
23150460952,1.460000000e+02,7040344.30,
NaN,1.220000000e+02,7040345.00,31
NaN,2.630000000e+02,7040345.01,
NaN,2.670000000e+02,7040345.02,
NaN,3.400000000e+02,7040345.03,
NaN,4.510000000e+02,7040345.04,
NaN,4.290000000e+02,7040345.05,
NaN,5.790000000e+02,7040345.06,
NaN,6.130000000e+02,7040345.07,
NaN,6.540000000e+02,7040345.08,
NaN,7.690000000e+02,7040345.09,
NaN,7.200000000e+02,7040345.10,
NaN,8.320000000e+02,7040345.11,
NaN,8.680000000e+02,7040345.12,
NaN,8.490000000e+02,7040345.13,
NaN,8.800000000e+02,7040345.14,
NaN,6.520000000e+02,7040345.15,
NaN,4.970000000e+02,7040345.16,
NaN,2.990000000e+02,7040345.17,
NaN,6.400000000e+01,7040345.18,
NaN,5.000000000e+00,7040345.19,
NaN,-1.850000000e+02,7040345.20,
NaN,-2.110000000e+02,7040345.21,
NaN,-1.880000000e+02,7040345.22,
NaN,-2.850000000e+02,7040345.23,
NaN,-1.970000000e+02,7040345.24,
NaN,-2.320000000e+02,7040345.25,
