time,accel.z,sequence_counter,packet_size
NaN,3.923000000e+03,7042705.02,
NaN,3.932000000e+03,7042705.03,
NaN,3.952000000e+03,7042705.04,
NaN,3.932000000e+03,7042705.05,
NaN,3.975000000e+03,7042705.06,
NaN,3.982000000e+03,7042705.07,
NaN,4.031000000e+03,7042705.08,
NaN,4.001000000e+03,7042705.09,
NaN,3.952000000e+03,7042705.10,
23150488312,4.013000000e+03,7042705.11,
NaN,4.031000000e+03,7042706.00,12
NaN,3.985000000e+03,7042706.01,
NaN,4.027000000e+03,7042706.02,
NaN,4.049000000e+03,7042706.03,
NaN,4.061000000e+03,7042706.04,
NaN,3.998000000e+03,7042706.05,
NaN,3.962000000e+03,7042706.06,
NaN,3.974000000e+03,7042706.07,
NaN,4.077000000e+03,7042706.08,
NaN,4.135000000e+03,7042706.09,
NaN,4.110000000e+03,7042706.10,
23150492269,4.096000000e+03,7042706.11,
NaN,4.142000000e+03,7042707.00,12
NaN,4.174000000e+03,7042707.01,
NaN,4.114000000e+03,7042707.02,
NaN,4.132000000e+03,7042707.03,
NaN,4.155000000e+03,7042707.04,
NaN,4.148000000e+03,7042707.05,
NaN,4.136000000e+03,7042707.06,
NaN,4.133000000e+03,7042707.07,
NaN,4.160000000e+03,7042707.08,
NaN,4.174000000e+03,7042707.09,
NaN,4.138000000e+03,7042707.10,
23150496227,4.126000000e+03,7042707.11,
NaN,4.062000000e+03,7042708.00,12
NaN,4.117000000e+03,7042708.01,
NaN,4.155000000e+03,7042708.02,
NaN,4.115000000e+03,7042708.03,
NaN,4.108000000e+03,7042708.04,
NaN,4.087000000e+03,7042708.05,
NaN,4.105000000e+03,7042708.06,
NaN,4.134000000e+03,7042708.07,
NaN,4.178000000e+03,7042708.08,
NaN,4.223000000e+03,7042708.09,
NaN,3.966000000e+03,7042708.10,
23150500184,3.895000000e+03,7042708.11,
NaN,4.229000000e+03,7042709.00,12
NaN,4.123000000e+03,7042709.01,
NaN,3.810000000e+03,7042709.02,
NaN,3.884000000e+03,7042709.03,
NaN,4.216000000e+03,7042709.04,
NaN,4.272000000e+03,7042709.05,
NaN,4.106000000e+03,7042709.06,
NaN,4.011000000e+03,7042709.07,
NaN,4.064000000e+03,7042709.08,
NaN,4.100000000e+03,7042709.09,
NaN,4.135000000e+03,7042709.10,
23150504141,4.126000000e+03,7042709.11,
NaN,4.114000000e+03,7042710.00,12
NaN,4.132000000e+03,7042710.01,
NaN,4.156000000e+03,7042710.02,
NaN,4.145000000e+03,7042710.03,
NaN,4.085000000e+03,7042710.04,
NaN,4.024000000e+03,7042710.05,
NaN,3.962000000e+03,7042710.06,
NaN,4.011000000e+03,7042710.07,
NaN,4.059000000e+03,7042710.08,
NaN,4.019000000e+03,7042710.09,
NaN,4.093000000e+03,7042710.10,
23150508098,4.077000000e+03,7042710.11,
NaN,4.061000000e+03,7042711.00,12
NaN,4.048000000e+03,7042711.01,
NaN,4.006000000e+03,7042711.02,
NaN,4.048000000e+03,7042711.03,
NaN,4.116000000e+03,7042711.04,
NaN,4.086000000e+03,7042711.05,
NaN,4.013000000e+03,7042711.06,
NaN,4.074000000e+03,7042711.07,
NaN,4.113000000e+03,7042711.08,
NaN,4.078000000e+03,7042711.09,
NaN,4.075000000e+03,7042711.10,
23150512056,4.086000000e+03,7042711.11,
NaN,4.047000000e+03,7042712.00,12
NaN,4.047000000e+03,7042712.01,
NaN,4.034000000e+03,7042712.02,
NaN,4.026000000e+03,7042712.03,
NaN,4.037000000e+03,7042712.04,
NaN,4.023000000e+03,7042712.05,
NaN,4.061000000e+03,7042712.06,
NaN,4.061000000e+03,7042712.07,
NaN,4.091000000e+03,7042712.08,
NaN,4.121000000e+03,7042712.09,
NaN,4.026000000e+03,7042712.10,
23150516014,4.037000000e+03,7042712.11,
NaN,4.089000000e+03,7042713.00,12
NaN,4.073000000e+03,7042713.01,
NaN,4.037000000e+03,7042713.02,
NaN,4.005000000e+03,7042713.03,
NaN,4.015000000e+03,7042713.04,
NaN,4.002000000e+03,7042713.05,
NaN,4.002000000e+03,7042713.06,
NaN,4.013000000e+03,7042713.07,
NaN,4.109000000e+03,7042713.08,
NaN,4.057000000e+03,7042713.09,
NaN,4.005000000e+03,7042713.10,
23150519971,4.033000000e+03,7042713.11,
NaN,4.114000000e+03,7042714.00,12
NaN,4.143000000e+03,7042714.01,
