time,ecg2,sequence_counter,packet_size
NaN,-2.660000000e+02,7014346.29,
22999201020,-2.780000000e+02,7014346.30,
NaN,-1.890000000e+02,7014347.00,31
NaN,-1.520000000e+02,7014347.01,
NaN,-1.510000000e+02,7014347.02,
NaN,-1.280000000e+02,7014347.03,
NaN,-1.510000000e+02,7014347.04,
NaN,-9.200000000e+01,7014347.05,
NaN,-9.900000000e+01,7014347.06,
NaN,-8.200000000e+01,7014347.07,
NaN,2.600000000e+01,7014347.08,
NaN,-7.200000000e+01,7014347.09,
NaN,1.790000000e+02,7014347.10,
NaN,4.960000000e+02,7014347.11,
NaN,4.250000000e+02,7014347.12,
NaN,7.210000000e+02,7014347.13,
NaN,8.650000000e+02,7014347.14,
NaN,4.940000000e+02,7014347.15,
NaN,3.060000000e+02,7014347.16,
NaN,1.630000000e+02,7014347.17,
NaN,-6.700000000e+01,7014347.18,
NaN,-2.040000000e+02,7014347.19,
NaN,-2.970000000e+02,7014347.20,
NaN,-3.220000000e+02,7014347.21,
NaN,-3.370000000e+02,7014347.22,
NaN,-3.520000000e+02,7014347.23,
NaN,-3.470000000e+02,7014347.24,
NaN,-3.440000000e+02,7014347.25,
NaN,-2.470000000e+02,7014347.26,
NaN,-4.300000000e+02,7014347.27,
NaN,-3.120000000e+02,7014347.28,
NaN,7.610000000e+02,7014347.29,
22999208956,2.173000000e+03,7014347.30,
NaN,3.825000000e+03,7014348.00,31
NaN,3.253000000e+03,7014348.01,
NaN,2.060000000e+02,7014348.02,
NaN,-8.360000000e+02,7014348.03,
NaN,-4.310000000e+02,7014348.04,
NaN,-5.850000000e+02,7014348.05,
NaN,-4.990000000e+02,7014348.06,
NaN,-4.490000000e+02,7014348.07,
NaN,-4.920000000e+02,7014348.08,
NaN,-4.090000000e+02,7014348.09,
NaN,-3.980000000e+02,7014348.10,
NaN,-4.170000000e+02,7014348.11,
NaN,-3.710000000e+02,7014348.12,
NaN,-3.160000000e+02,7014348.13,
NaN,-3.620000000e+02,7014348.14,
NaN,-3.060000000e+02,7014348.15,
NaN,-1.800000000e+02,7014348.16,
NaN,-2.270000000e+02,7014348.17,
NaN,-1.860000000e+02,7014348.18,
NaN,-1.340000000e+02,7014348.19,
NaN,-1.930000000e+02,7014348.20,
NaN,-1.200000000e+01,7014348.21,
NaN,2.000000000e+01,7014348.22,
NaN,-1.280000000e+02,7014348.23,
NaN,-4.000000000e+00,7014348.24,
NaN,4.500000000e+01,7014348.25,
NaN,-2.200000000e+01,7014348.26,
NaN,2.400000000e+01,7014348.27,
NaN,6.400000000e+01,7014348.28,
NaN,4.300000000e+01,7014348.29,
22999216903,3.000000000e+00,7014348.30,
NaN,2.200000000e+01,7014349.00,31
NaN,5.500000000e+01,7014349.01,
NaN,8.000000000e+01,7014349.02,
NaN,1.430000000e+02,7014349.03,
NaN,1.270000000e+02,7014349.04,
NaN,5.700000000e+01,7014349.05,
NaN,7.000000000e+00,7014349.06,
NaN,-7.200000000e+01,7014349.07,
NaN,-1.130000000e+02,7014349.08,
NaN,-5.400000000e+01,7014349.09,
NaN,2.700000000e+01,7014349.10,
NaN,-2.300000000e+01,7014349.11,
NaN,-6.300000000e+01,7014349.12,
NaN,9.000000000e+00,7014349.13,
NaN,-4.200000000e+01,7014349.14,
NaN,-9.400000000e+01,7014349.15,
NaN,-5.900000000e+01,7014349.16,
NaN,-3.700000000e+01,7014349.17,
NaN,1.700000000e+01,7014349.18,
NaN,-6.600000000e+01,7014349.19,
NaN,-1.810000000e+02,7014349.20,
NaN,-1.610000000e+02,7014349.21,
NaN,-9.400000000e+01,7014349.22,
NaN,-6.500000000e+01,7014349.23,
NaN,-1.820000000e+02,7014349.24,
NaN,-2.760000000e+02,7014349.25,
NaN,-2.190000000e+02,7014349.26,
NaN,-2.040000000e+02,7014349.27,
