time,accel.x,sequence_counter,packet_size
NaN,1.071300000e+04,7038037.06,
NaN,1.069200000e+04,7038037.07,
NaN,1.077500000e+04,7038037.08,
NaN,1.083000000e+04,7038037.09,
NaN,1.077100000e+04,7038037.10,
23111321894,1.074900000e+04,7038037.11,
NaN,1.075200000e+04,7038038.00,12
NaN,1.064800000e+04,7038038.01,
NaN,1.049000000e+04,7038038.02,
NaN,1.043800000e+04,7038038.03,
NaN,1.045400000e+04,7038038.04,
NaN,1.051700000e+04,7038038.05,
NaN,1.061800000e+04,7038038.06,
NaN,1.070600000e+04,7038038.07,
NaN,1.079700000e+04,7038038.08,
NaN,1.077500000e+04,7038038.09,
NaN,1.067900000e+04,7038038.10,
23111325852,1.058900000e+04,7038038.11,
NaN,1.057700000e+04,7038039.00,12
NaN,1.059700000e+04,7038039.01,
NaN,1.066700000e+04,7038039.02,
NaN,1.075800000e+04,7038039.03,
NaN,1.083200000e+04,7038039.04,
NaN,1.086300000e+04,7038039.05,
NaN,1.080900000e+04,7038039.06,
NaN,1.065400000e+04,7038039.07,
NaN,1.046000000e+04,7038039.08,
NaN,1.031200000e+04,7038039.09,
NaN,1.035300000e+04,7038039.10,
23111329811,1.051200000e+04,7038039.11,
NaN,1.070100000e+04,7038040.00,12
NaN,1.084400000e+04,7038040.01,
NaN,1.086200000e+04,7038040.02,
NaN,1.087500000e+04,7038040.03,
NaN,1.082800000e+04,7038040.04,
NaN,1.076000000e+04,7038040.05,
NaN,1.061100000e+04,7038040.06,
NaN,1.046400000e+04,7038040.07,
NaN,1.045100000e+04,7038040.08,
NaN,1.055900000e+04,7038040.09,
NaN,1.070600000e+04,7038040.10,
23111333769,1.081200000e+04,7038040.11,
NaN,1.086800000e+04,7038041.00,12
NaN,1.084700000e+04,7038041.01,
NaN,1.079500000e+04,7038041.02,
NaN,1.070400000e+04,7038041.03,
NaN,1.061900000e+04,7038041.04,
NaN,1.060300000e+04,7038041.05,
NaN,1.058900000e+04,7038041.06,
NaN,1.068500000e+04,7038041.07,
NaN,1.070600000e+04,7038041.08,
NaN,1.067600000e+04,7038041.09,
NaN,1.067800000e+04,7038041.10,
23111337728,1.075300000e+04,7038041.11,
NaN,1.083200000e+04,7038042.00,12
NaN,1.087800000e+04,7038042.01,
NaN,1.087300000e+04,7038042.02,
NaN,1.081400000e+04,7038042.03,
NaN,1.074500000e+04,7038042.04,
NaN,1.072000000e+04,7038042.05,
NaN,1.061700000e+04,7038042.06,
NaN,1.055700000e+04,7038042.07,
NaN,1.054200000e+04,7038042.08,
NaN,1.059000000e+04,7038042.09,
NaN,1.066000000e+04,7038042.10,
23111341686,1.069000000e+04,7038042.11,
NaN,1.075500000e+04,7038043.00,12
NaN,1.076000000e+04,7038043.01,
NaN,1.076300000e+04,7038043.02,
NaN,1.079300000e+04,7038043.03,
NaN,1.077000000e+04,7038043.04,
NaN,1.070200000e+04,7038043.05,
NaN,1.064600000e+04,7038043.06,
NaN,1.066300000e+04,7038043.07,
NaN,1.061400000e+04,7038043.08,
NaN,1.059400000e+04,7038043.09,
NaN,1.060300000e+04,7038043.10,
23111345644,1.058100000e+04,7038043.11,
NaN,1.056300000e+04,7038044.00,12
NaN,1.059000000e+04,7038044.01,
NaN,1.068700000e+04,7038044.02,
NaN,1.073400000e+04,7038044.03,
NaN,1.075100000e+04,7038044.04,
NaN,1.076900000e+04,7038044.05,
NaN,1.085300000e+04,7038044.06,
NaN,1.085900000e+04,7038044.07,
NaN,1.070800000e+04,7038044.08,
NaN,1.062000000e+04,7038044.09,
NaN,1.062200000e+04,7038044.10,
